"Formula";"TP";"TN";"FP";"FN";"Accuracy";"Sensitivity";"Specificity"
"251";"target ~ cp1+ca4";14;39;3;46;0.519607843137255;0.928571428571429;0.233333333333333
"252";"target ~ cp1+thal0";13;40;2;47;0.519607843137255;0.952380952380952;0.216666666666667
"253";"target ~ cp1+thal1";12;40;2;48;0.509803921568627;0.952380952380952;0.2
"254";"target ~ cp1+thal2";43;32;10;17;0.735294117647059;0.761904761904762;0.716666666666667
"255";"target ~ cp1+thal3";46;29;13;14;0.735294117647059;0.69047619047619;0.766666666666667
"256";"target ~ cp2+cp3";32;37;5;28;0.676470588235294;0.880952380952381;0.533333333333333
"257";"target ~ cp2+fbs0";23;40;2;37;0.617647058823529;0.952380952380952;0.383333333333333
"258";"target ~ cp2+fbs1";23;40;2;37;0.617647058823529;0.952380952380952;0.383333333333333
"259";"target ~ cp2+restecg0";23;40;2;37;0.617647058823529;0.952380952380952;0.383333333333333
"260";"target ~ cp2+restecg1";23;40;2;37;0.617647058823529;0.952380952380952;0.383333333333333
"261";"target ~ cp2+restecg2";23;40;2;37;0.617647058823529;0.952380952380952;0.383333333333333
"262";"target ~ cp2+exang0";20;40;2;40;0.588235294117647;0.952380952380952;0.333333333333333
"263";"target ~ cp2+exang1";20;40;2;40;0.588235294117647;0.952380952380952;0.333333333333333
"264";"target ~ cp2+slope0";23;40;2;37;0.617647058823529;0.952380952380952;0.383333333333333
"265";"target ~ cp2+slope1";17;42;0;43;0.57843137254902;1;0.283333333333333
"266";"target ~ cp2+slope2";38;33;9;22;0.696078431372549;0.785714285714286;0.633333333333333
"267";"target ~ cp2+ca0";17;42;0;43;0.57843137254902;1;0.283333333333333
"268";"target ~ cp2+ca1";20;41;1;40;0.598039215686274;0.976190476190476;0.333333333333333
"269";"target ~ cp2+ca2";23;40;2;37;0.617647058823529;0.952380952380952;0.383333333333333
"270";"target ~ cp2+ca3";21;41;1;39;0.607843137254902;0.976190476190476;0.35
"271";"target ~ cp2+ca4";24;39;3;36;0.617647058823529;0.928571428571429;0.4
"272";"target ~ cp2+thal0";23;40;2;37;0.617647058823529;0.952380952380952;0.383333333333333
"273";"target ~ cp2+thal1";23;40;2;37;0.617647058823529;0.952380952380952;0.383333333333333
"274";"target ~ cp2+thal2";43;32;10;17;0.735294117647059;0.761904761904762;0.716666666666667
"275";"target ~ cp2+thal3";17;42;0;43;0.57843137254902;1;0.283333333333333
"276";"target ~ cp3+fbs0";9;39;3;51;0.470588235294118;0.928571428571429;0.15
"277";"target ~ cp3+fbs1";9;39;3;51;0.470588235294118;0.928571428571429;0.15
"278";"target ~ cp3+restecg0";32;27;15;28;0.57843137254902;0.642857142857143;0.533333333333333
"279";"target ~ cp3+restecg1";32;27;15;28;0.57843137254902;0.642857142857143;0.533333333333333
"280";"target ~ cp3+restecg2";9;39;3;51;0.470588235294118;0.928571428571429;0.15
"281";"target ~ cp3+exang0";52;19;23;8;0.696078431372549;0.452380952380952;0.866666666666667
"282";"target ~ cp3+exang1";52;19;23;8;0.696078431372549;0.452380952380952;0.866666666666667
"283";"target ~ cp3+slope0";9;39;3;51;0.470588235294118;0.928571428571429;0.15
"284";"target ~ cp3+slope1";42;26;16;18;0.666666666666667;0.619047619047619;0.7
"285";"target ~ cp3+slope2";38;33;9;22;0.696078431372549;0.785714285714286;0.633333333333333
"286";"target ~ cp3+ca0";46;30;12;14;0.745098039215686;0.714285714285714;0.766666666666667
"287";"target ~ cp3+ca1";7;39;3;53;0.450980392156863;0.928571428571429;0.116666666666667
"288";"target ~ cp3+ca2";9;40;2;51;0.480392156862745;0.952380952380952;0.15
"289";"target ~ cp3+ca3";9;39;3;51;0.470588235294118;0.928571428571429;0.15
"290";"target ~ cp3+ca4";11;38;4;49;0.480392156862745;0.904761904761905;0.183333333333333
"291";"target ~ cp3+thal0";9;39;3;51;0.470588235294118;0.928571428571429;0.15
"292";"target ~ cp3+thal1";8;39;3;52;0.46078431372549;0.928571428571429;0.133333333333333
"293";"target ~ cp3+thal2";43;32;10;17;0.735294117647059;0.761904761904762;0.716666666666667
"294";"target ~ cp3+thal3";46;29;13;14;0.735294117647059;0.69047619047619;0.766666666666667
"295";"target ~ fbs0+fbs1";7;37;5;53;0.431372549019608;0.880952380952381;0.116666666666667
